Distance,fA,fB,fAB
17658,0.0115595,0.0287258,0
378303,0.0115595,0.0100872,0
25587,0.0115595,0.0201028,0
108104,0.0115595,0.502195,1.08001e-08
181457,0.0115595,0.0557654,0
279010,0.0109089,0.0513548,3.50003e-09
81551,0.0109089,0.0556711,0
498263,0.0109089,0.869075,0.0109088
549935,0.0109089,0.999929,0.0109089
777206,0.0109089,0.0105214,0
192426,0.0109089,1,0.0109089
117513,0.0109089,0.0142688,0
545158,0.0109089,0.0132527,0
175406,0.0109089,0.0217936,0
495779,0.0109089,0.0129647,0
23795,0.0109089,0.0103961,0
32105,0.0109089,1,0.0109089
32416,0.0109089,0.0200475,9.00008e-09
685353,0.0109089,0.0115154,0
167507,0.0109089,0.869086,0.0109088
105232,0.0109089,0.0137476,1.00001e-10
263057,0.0109089,0.0102548,1.60001e-09
798581,0.0109089,0.0205804,4.00003e-10
245518,0.0109089,0.999626,0.0109089
683805,0.0109089,0.109825,1.02201e-07
149704,0.0109089,0.0171535,4.65004e-08
98529,0.0109089,0.0477267,0
616178,0.0109089,0.0115634,0
257385,0.0109089,0.0517397,3.20003e-09
359260,0.0109089,0.0109125,0.0109047
120394,0.0109089,0.0511343,1.10001e-09
490893,0.0109089,1,0.0109089
729384,0.0109089,0.0190638,4.10004e-09
374716,0.0109089,0.046193,0
446143,0.0109089,0.0287258,2.00002e-09
50182,0.0109089,0.0100872,0
454072,0.0109089,0.0201028,0
320381,0.0109089,0.502195,4.12104e-07
247028,0.0109089,0.0557654,0
360561,0.0513548,0.0556711,2.60002e-09
219253,0.0513548,0.869075,0.0513542
270925,0.0513548,0.999929,0.0513548
498196,0.0513548,0.0105214,6.00005e-10
86584,0.0513548,1,0.0513548
396523,0.0513548,0.0142688,1.43001e-08
266148,0.0513548,0.0132527,5.80005e-09
103604,0.0513548,0.0217936,0
216769,0.0513548,0.0129647,0
255215,0.0513548,0.0103961,0
246905,0.0513548,1,0.0513548
246594,0.0513548,0.0200475,2.13402e-07
406343,0.0513548,0.0115154,0
446517,0.0513548,0.869086,0.0513542
384242,0.0513548,0.0137476,0
15953,0.0513548,0.0102548,1.40001e-09
519571,0.0513548,0.0205804,1.55401e-07
33492,0.0513548,0.999626,0.0513548
404795,0.0513548,0.109825,5.94405e-07
428714,0.0513548,0.0171535,0
377539,0.0513548,0.0477267,1.50001e-09
337168,0.0513548,0.0115634,0
21625,0.0513548,0.0517397,2.80002e-09
80250,0.0513548,0.0109125,0
158616,0.0513548,0.0511343,0
211883,0.0513548,1,0.0513548
450374,0.0513548,0.0190638,0
95706,0.0513548,0.046193,4.08194e-06
167133,0.0513548,0.0287258,0
228828,0.0513548,0.0100872,0
175062,0.0513548,0.0201028,6.00005e-10
41371,0.0513548,0.502195,2.82302e-07
31982,0.0513548,0.0557654,1.00001e-10
579814,0.0556711,0.869075,0.0556709
631486,0.0556711,0.999929,0.0556711
858757,0.0556711,0.0105214,0
273977,0.0556711,1,0.0556711
35962,0.0556711,0.0142688,2.00002e-10
626709,0.0556711,0.0132527,7.00006e-10
256957,0.0556711,0.0217936,0
577330,0.0556711,0.0129647,0
105346,0.0556711,0.0103961,0
113656,0.0556711,1,0.0556711
113967,0.0556711,0.0200475,2.10002e-09
766904,0.0556711,0.0115154,0
85956,0.0556711,0.869086,0.0556709
23681,0.0556711,0.0137476,0
344608,0.0556711,0.0102548,1.00001e-10
880132,0.0556711,0.0205804,4.00003e-10
327069,0.0556711,0.999626,0.0556711
765356,0.0556711,0.109825,9.99009e-08
68153,0.0556711,0.0171535,0
16978,0.0556711,0.0477267,0
697729,0.0556711,0.0115634,0
338936,0.0556711,0.0517397,2.61002e-08
440811,0.0556711,0.0109125,9.00008e-10
201945,0.0556711,0.0511343,1.30001e-09
572444,0.0556711,1,0.0556711
810935,0.0556711,0.0190638,0
456267,0.0556711,0.046193,0
527694,0.0556711,0.0287258,1.00001e-10
131733,0.0556711,0.0100872,1.00001e-10
535623,0.0556711,0.0201028,9.50008e-09
401932,0.0556711,0.502195,4.94004e-08
328579,0.0556711,0.0557654,0.05567
51672,0.869075,0.999929,0.869075
278943,0.869075,0.0105214,0.0105204
305837,0.869075,1,0.869075
615776,0.869075,0.0142688,0.0142688
46895,0.869075,0.0132527,0.0132511
322857,0.869075,0.0217936,0.0217936
2484,0.869075,0.0129647,3.31808e-05
474468,0.869075,0.0103961,0.010396
466158,0.869075,1,0.869075
465847,0.869075,0.0200475,0.0200474
187090,0.869075,0.0115154,2.92603e-07
665770,0.869075,0.869086,0.869075
603495,0.869075,0.0137476,2.34124e-05
235206,0.869075,0.0102548,0.0102452
300318,0.869075,0.0205804,0.0205804
252745,0.869075,0.999626,0.869075
185542,0.869075,0.109825,3.02503e-07
647967,0.869075,0.0171535,0.0171535
596792,0.869075,0.0477267,0.0477267
117915,0.869075,0.0115634,4.70974e-06
240878,0.869075,0.0517397,4.59384e-06
139003,0.869075,0.0109125,0.0109052
377869,0.869075,0.0511343,0.0511343
7370,0.869075,1,0.869075
231121,0.869075,0.0190638,5.85305e-07
123547,0.869075,0.046193,0.046193
52120,0.869075,0.0287258,0.0287258
448081,0.869075,0.0100872,0.0100872
44191,0.869075,0.0201028,0.0200707
177882,0.869075,0.502195,0.502194
251235,0.869075,0.0557654,0.0557654
227271,0.999929,0.0105214,0.0105214
357509,0.999929,1,0.999929
667448,0.999929,0.0142688,0.0142688
4777,0.999929,0.0132527,0.0132527
374529,0.999929,0.0217936,0.0217936
54156,0.999929,0.0129647,0.0129647
526140,0.999929,0.0103961,0.0103961
517830,0.999929,1,0.999929
517519,0.999929,0.0200475,0.0200475
135418,0.999929,0.0115154,0.0115154
717442,0.999929,0.869086,0.869086
655167,0.999929,0.0137476,0.0137476
286878,0.999929,0.0102548,0.0102548
248646,0.999929,0.0205804,0.0205804
304417,0.999929,0.999626,0.999626
133870,0.999929,0.109825,0.109825
699639,0.999929,0.0171535,0.0171535
648464,0.999929,0.0477267,0.0477267
66243,0.999929,0.0115634,0.0115634
292550,0.999929,0.0517397,0.0517397
190675,0.999929,0.0109125,0.0109125
429541,0.999929,0.0511343,0.0511343
59042,0.999929,1,0.999929
179449,0.999929,0.0190638,0.0190638
175219,0.999929,0.046193,0.046193
103792,0.999929,0.0287258,0.0287258
499753,0.999929,0.0100872,0.0100872
95863,0.999929,0.0201028,0.0201028
229554,0.999929,0.502195,0.502195
302907,0.999929,0.0557654,0.0557654
584780,0.0105214,1,0.0105214
894719,0.0105214,0.0142688,0
232048,0.0105214,0.0132527,0
601800,0.0105214,0.0217936,0
281427,0.0105214,0.0129647,0
753411,0.0105214,0.0103961,0
745101,0.0105214,1,0.0105214
744790,0.0105214,0.0200475,0
91853,0.0105214,0.0115154,0
944713,0.0105214,0.869086,0.0105204
882438,0.0105214,0.0137476,7.12006e-08
514149,0.0105214,0.0102548,0
21375,0.0105214,0.0205804,0
531688,0.0105214,0.999626,0.0105214
93401,0.0105214,0.109825,9.70608e-07
926910,0.0105214,0.0171535,0
875735,0.0105214,0.0477267,3.00003e-10
161028,0.0105214,0.0115634,0
519821,0.0105214,0.0517397,2.16002e-08
417946,0.0105214,0.0109125,0
656812,0.0105214,0.0511343,3.00003e-10
286313,0.0105214,1,0.0105214
47822,0.0105214,0.0190638,0
402490,0.0105214,0.046193,0
331063,0.0105214,0.0287258,0
727024,0.0105214,0.0100872,0.0100855
323134,0.0105214,0.0201028,0
456825,0.0105214,0.502195,2.81902e-07
530178,0.0105214,0.0557654,0
309939,1,0.0142688,0.0142688
352732,1,0.0132527,0.0132527
17020,1,0.0217936,0.0217936
303353,1,0.0129647,0.0129647
168631,1,0.0103961,0.0103961
160321,1,1,1
160010,1,0.0200475,0.0200475
492927,1,0.0115154,0.0115154
359933,1,0.869086,0.869086
297658,1,0.0137476,0.0137476
70631,1,0.0102548,0.0102548
606155,1,0.0205804,0.0205804
53092,1,0.999626,0.999626
491379,1,0.109825,0.109825
342130,1,0.0171535,0.0171535
290955,1,0.0477267,0.0477267
423752,1,0.0115634,0.0115634
64959,1,0.0517397,0.0517397
166834,1,0.0109125,0.0109125
72032,1,0.0511343,0.0511343
298467,1,1,1
536958,1,0.0190638,0.0190638
182290,1,0.046193,0.046193
253717,1,0.0287258,0.0287258
142244,1,0.0100872,0.0100872
261646,1,0.0201028,0.0201028
127955,1,0.502195,0.502195
54602,1,0.0557654,0.0557654
662671,0.0142688,0.0132527,6.00005e-10
292919,0.0142688,0.0217936,9.00008e-10
613292,0.0142688,0.0129647,2.00002e-10
141308,0.0142688,0.0103961,0
149618,0.0142688,1,0.0142688
149929,0.0142688,0.0200475,0
802866,0.0142688,0.0115154,0
49994,0.0142688,0.869086,0.0142688
12281,0.0142688,0.0137476,0
380570,0.0142688,0.0102548,0
916094,0.0142688,0.0205804,0
363031,0.0142688,0.999626,0.0142688
801318,0.0142688,0.109825,4.90004e-09
32191,0.0142688,0.0171535,0
18984,0.0142688,0.0477267,0
733691,0.0142688,0.0115634,0
374898,0.0142688,0.0517397,4.70004e-09
476773,0.0142688,0.0109125,0
237907,0.0142688,0.0511343,1.20001e-09
608406,0.0142688,1,0.0142688
846897,0.0142688,0.0190638,2.00002e-10
492229,0.0142688,0.046193,0
563656,0.0142688,0.0287258,0
167695,0.0142688,0.0100872,0
571585,0.0142688,0.0201028,0
437894,0.0142688,0.502195,0.0142685
364541,0.0142688,0.0557654,1.00001e-10
369752,0.0132527,0.0217936,0
49379,0.0132527,0.0129647,0
521363,0.0132527,0.0103961,7.80007e-09
513053,0.0132527,1,0.0132527
512742,0.0132527,0.0200475,0
140195,0.0132527,0.0115154,0
712665,0.0132527,0.869086,0.0132511
650390,0.0132527,0.0137476,0
282101,0.0132527,0.0102548,0
253423,0.0132527,0.0205804,1.00001e-10
299640,0.0132527,0.999626,0.0132527
138647,0.0132527,0.109825,1.59481e-06
694862,0.0132527,0.0171535,4.00003e-10
643687,0.0132527,0.0477267,0
71020,0.0132527,0.0115634,0
287773,0.0132527,0.0517397,3.00003e-09
185898,0.0132527,0.0109125,0
424764,0.0132527,0.0511343,0
54265,0.0132527,1,0.0132527
184226,0.0132527,0.0190638,1.59181e-06
170442,0.0132527,0.046193,0
99015,0.0132527,0.0287258,0
494976,0.0132527,0.0100872,0
91086,0.0132527,0.0201028,0
224777,0.0132527,0.502195,0.0132497
298130,0.0132527,0.0557654,7.00006e-10
320373,0.0217936,0.0129647,0
151611,0.0217936,0.0103961,1.31001e-08
143301,0.0217936,1,0.0217936
142990,0.0217936,0.0200475,0
509947,0.0217936,0.0115154,2.00002e-10
342913,0.0217936,0.869086,0.0217936
280638,0.0217936,0.0137476,0
87651,0.0217936,0.0102548,3.00003e-10
623175,0.0217936,0.0205804,0
70112,0.0217936,0.999626,0.0217936
508399,0.0217936,0.109825,1.37001e-08
325110,0.0217936,0.0171535,0
273935,0.0217936,0.0477267,1.00001e-10
440772,0.0217936,0.0115634,2.00002e-10
81979,0.0217936,0.0517397,1.36001e-08
183854,0.0217936,0.0109125,3.10003e-09
55012,0.0217936,0.0511343,0
315487,0.0217936,1,0.0217936
553978,0.0217936,0.0190638,0
199310,0.0217936,0.046193,3.57003e-08
270737,0.0217936,0.0287258,3.00003e-10
125224,0.0217936,0.0100872,0
278666,0.0217936,0.0201028,0
144975,0.0217936,0.502195,0.0217926
71622,0.0217936,0.0557654,0
471984,0.0129647,0.0103961,0
463674,0.0129647,1,0.0129647
463363,0.0129647,0.0200475,0
189574,0.0129647,0.0115154,0
663286,0.0129647,0.869086,3.31996e-05
601011,0.0129647,0.0137476,6.00005e-10
232722,0.0129647,0.0102548,2.00002e-10
302802,0.0129647,0.0205804,0
250261,0.0129647,0.999626,0.0129647
188026,0.0129647,0.109825,0.0129316
645483,0.0129647,0.0171535,0
594308,0.0129647,0.0477267,3.00003e-10
120399,0.0129647,0.0115634,0
238394,0.0129647,0.0517397,2.00002e-10
136519,0.0129647,0.0109125,0
375385,0.0129647,0.0511343,0
4886,0.0129647,1,0.0129647
233605,0.0129647,0.0190638,0.0129279
121063,0.0129647,0.046193,0
49636,0.0129647,0.0287258,2.00002e-10
445597,0.0129647,0.0100872,0
41707,0.0129647,0.0201028,5.56005e-08
175398,0.0129647,0.502195,3.27621e-05
248751,0.0129647,0.0557654,2.00002e-10
8310,0.0103961,1,0.0103961
8621,0.0103961,0.0200475,0
661558,0.0103961,0.0115154,0
191302,0.0103961,0.869086,0.010396
129027,0.0103961,0.0137476,0
239262,0.0103961,0.0102548,1.40001e-09
774786,0.0103961,0.0205804,2.80002e-09
221723,0.0103961,0.999626,0.0103961
660010,0.0103961,0.109825,8.78008e-08
173499,0.0103961,0.0171535,0
122324,0.0103961,0.0477267,1.00001e-10
592383,0.0103961,0.0115634,0
233590,0.0103961,0.0517397,0
335465,0.0103961,0.0109125,9.00008e-10
96599,0.0103961,0.0511343,4.00003e-10
467098,0.0103961,1,0.0103961
705589,0.0103961,0.0190638,0
350921,0.0103961,0.046193,0
422348,0.0103961,0.0287258,1.40001e-09
26387,0.0103961,0.0100872,0
430277,0.0103961,0.0201028,0
296586,0.0103961,0.502195,1.61001e-08
223233,0.0103961,0.0557654,0
311,1,0.0200475,0.0200475
653248,1,0.0115154,0.0115154
199612,1,0.869086,0.869086
137337,1,0.0137476,0.0137476
230952,1,0.0102548,0.0102548
766476,1,0.0205804,0.0205804
213413,1,0.999626,0.999626
651700,1,0.109825,0.109825
181809,1,0.0171535,0.0171535
130634,1,0.0477267,0.0477267
584073,1,0.0115634,0.0115634
225280,1,0.0517397,0.0517397
327155,1,0.0109125,0.0109125
88289,1,0.0511343,0.0511343
458788,1,1,1
697279,1,0.0190638,0.0190638
342611,1,0.046193,0.046193
414038,1,0.0287258,0.0287258
18077,1,0.0100872,0.0100872
421967,1,0.0201028,0.0201028
288276,1,0.502195,0.502195
214923,1,0.0557654,0.0557654
652937,0.0200475,0.0115154,0
199923,0.0200475,0.869086,0.0200474
137648,0.0200475,0.0137476,1.95002e-08
230641,0.0200475,0.0102548,0
766165,0.0200475,0.0205804,0
213102,0.0200475,0.999626,0.0200475
651389,0.0200475,0.109825,1.43901e-07
182120,0.0200475,0.0171535,7.00006e-10
130945,0.0200475,0.0477267,0
583762,0.0200475,0.0115634,0
224969,0.0200475,0.0517397,9.60008e-08
326844,0.0200475,0.0109125,9.00008e-09
87978,0.0200475,0.0511343,1.31101e-07
458477,0.0200475,1,0.0200475
696968,0.0200475,0.0190638,0
342300,0.0200475,0.046193,0
413727,0.0200475,0.0287258,2.00002e-10
17766,0.0200475,0.0100872,0
421656,0.0200475,0.0201028,0.0200437
287965,0.0200475,0.502195,6.63506e-07
214612,0.0200475,0.0557654,0
852860,0.0115154,0.869086,2.93503e-07
790585,0.0115154,0.0137476,0
422296,0.0115154,0.0102548,0
113228,0.0115154,0.0205804,0
439835,0.0115154,0.999626,0.0115154
1548,0.0115154,0.109825,1.24101e-07
835057,0.0115154,0.0171535,3.00003e-10
783882,0.0115154,0.0477267,2.40002e-09
69175,0.0115154,0.0115634,0.011515
427968,0.0115154,0.0517397,3.43003e-08
326093,0.0115154,0.0109125,0
564959,0.0115154,0.0511343,0
194460,0.0115154,1,0.0115154
44031,0.0115154,0.0190638,4.72004e-08
310637,0.0115154,0.046193,0
239210,0.0115154,0.0287258,0
635171,0.0115154,0.0100872,0
231281,0.0115154,0.0201028,0
