Distance,fA,fB,fAB
273360,0.584678,0.0489987,0.000159486
324690,0.584678,0.99938,0.584678
59472,0.584678,0.929128,0.562611
331181,0.584678,0.0782034,0.000147768
178337,0.584678,0.0241658,8.8421e-05
69459,0.584678,0.999373,0.584677
334292,0.584678,0.0770121,0.000145236
503562,0.584678,0.0405298,5.23754e-05
40770,0.584678,0.990465,0.584609
855857,0.584678,0.0157344,5.43948e-06
432574,0.584678,0.0406417,7.16802e-05
488795,0.584678,0.0416039,7.91544e-05
576387,0.584678,0.01087,0.000114022
319595,0.584678,0.973928,0.563028
61590,0.584678,0.0221518,0.0220842
469990,0.584678,0.0166578,8.42222e-06
77060,0.584678,0.0128758,0.0128752
271880,0.584678,0.0489975,0.000158397
9167,0.584678,0.723067,0.584434
375480,0.0157333,0.0166749,2.48503e-07
868909,0.0157333,0.107243,1.51983e-05
330026,0.0157333,0.999959,0.0157331
579666,0.0157333,0.0489987,5.69018e-06
528336,0.0157333,0.99938,0.0157191
793554,0.0157333,0.929128,0.0155199
521845,0.0157333,0.0782034,2.89384e-06
674689,0.0157333,0.0241658,1.65524e-05
922485,0.0157333,0.999373,0.0157332
518734,0.0157333,0.0770121,2.51543e-06
349464,0.0157333,0.0405298,1.05901e-07
893796,0.0157333,0.990465,0.0156093
2831,0.0157333,0.0157344,0.0157318
420452,0.0157333,0.0406417,1.34002e-07
364231,0.0157333,0.0416039,1.17432e-06
276639,0.0157333,0.01087,1.42877e-05
533431,0.0157333,0.973928,0.0155238
914616,0.0157333,0.0221518,2.71404e-07
383036,0.0157333,0.0166578,2.69504e-07
930086,0.0157333,0.0128758,1.06001e-08
581146,0.0157333,0.0489975,5.71748e-06
862193,0.0157333,0.723067,0.000207035
493429,0.0166749,0.107243,1.54612e-06
45454,0.0166749,0.999959,0.0166749
204186,0.0166749,0.0489987,1.19922e-06
152856,0.0166749,0.99938,0.0166749
418074,0.0166749,0.929128,0.016674
146365,0.0166749,0.0782034,3.11204e-06
299209,0.0166749,0.0241658,1.86693e-06
547005,0.0166749,0.999373,0.0166749
143254,0.0166749,0.0770121,3.10204e-06
26016,0.0166749,0.0405298,8.76812e-07
518316,0.0166749,0.990465,0.0166749
378311,0.0166749,0.0157344,2.96504e-07
44972,0.0166749,0.0406417,8.75712e-07
11249,0.0166749,0.0416039,2.25073e-06
98841,0.0166749,0.01087,1.62602e-07
157951,0.0166749,0.973928,0.0166748
539136,0.0166749,0.0221518,1.54702e-07
7556,0.0166749,0.0166578,0.0166547
554606,0.0166749,0.0128758,2.23003e-08
205666,0.0166749,0.0489975,1.21042e-06
486713,0.0166749,0.723067,1.1618e-05
538883,0.107243,0.999959,0.107236
289243,0.107243,0.0489987,1.80437e-05
340573,0.107243,0.99938,0.107108
75355,0.107243,0.929128,0.0841523
347064,0.107243,0.0782034,4.01431e-05
194220,0.107243,0.0241658,0.00103682
53576,0.107243,0.999373,0.107241
350175,0.107243,0.0770121,3.82831e-05
519445,0.107243,0.0405298,1.55462e-06
24887,0.107243,0.990465,0.106132
